src/components/AddLessonModal.tsx:72:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/ConfettiBurst.tsx:40:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/CourseManagerModal.tsx:179:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/CourseManagerModal.tsx:184:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/CourseManagerModal.tsx:212:56 | react-hooks/exhaustive-deps | React Hook useMemo has unnecessary dependencies: 'archiveVersion' and 'open'. Either exclude them or remove the dependency array.
src/components/DailyProgressBar.tsx:23:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/FlexiblePlanner.tsx:172:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/FocusTimerModal.tsx:177:31 | react-hooks/purity | Error: Cannot call impure function during render
src/components/FocusTimerModal.tsx:231:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/FocusTimerModal.tsx:236:17 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/FocusTimerModal.tsx:260:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/FocusTimerModal.tsx:265:53 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/FocusTimerModal.tsx:304:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/FocusTimerModal.tsx:858:6 | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'preferences.notifyWhenComplete'. Either include it or remove the dependency array.
src/components/HabitSidebar.tsx:73:21 | react-hooks/preserve-manual-memoization | Compilation Skipped: Existing memoization could not be preserved
src/components/HabitSidebar.tsx:75:6 | react-hooks/preserve-manual-memoization | Compilation Skipped: Existing memoization could not be preserved
src/components/NotificationCenterModal.tsx:106:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/SimulatedPushBanner.tsx:41:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/today/ManualStudyDialog.tsx:33:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/ui/badge.tsx:32:17 | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/components/ui/button.tsx:49:18 | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/components/ui/carousel.tsx:98:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/components/ui/form.tsx:163:3 | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/components/ui/navigation-menu.tsx:111:3 | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/components/ui/sidebar.tsx:643:26 | react-hooks/purity | Error: Cannot call impure function during render
src/components/ui/sidebar.tsx:743:3 | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/components/ui/toggle.tsx:42:18 | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/hooks/use-mobile.tsx:14:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/lib/date-utils.ts:61:42 | no-useless-escape | Unnecessary escape character: \/.
src/lib/date-utils.ts:61:56 | no-useless-escape | Unnecessary escape character: \/.
src/lib/date-utils.ts:67:40 | no-useless-escape | Unnecessary escape character: \/.
src/lib/date-utils.ts:67:54 | no-useless-escape | Unnecessary escape character: \/.
src/lib/progress-store.ts:612:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/routes/index.tsx:252:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/routes/index.tsx:274:5 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
src/routes/index.tsx:562:7 | react-hooks/set-state-in-effect | Error: Calling setState synchronously within an effect can trigger cascading renders
